Symbol,FiscalYearEnd,sales,net_profit,eps,equity_capital,reserves,borrowings,roce_pct,roe_pct,debt_to_equity
JSWSTEEL,Mar 2021,79839.0,7873.0,32.73,302.0,45308.0,66727.0,15.0,17.26,1.463
JSWSTEEL,Mar 2022,146371.0,20938.0,85.49,301.0,66996.0,72237.0,28.0,31.11,1.073
JSWSTEEL,Mar 2023,165960.0,4139.0,17.14,301.0,65394.0,80853.0,8.0,6.3,1.231
JSWSTEEL,Mar 2024,175006.0,8973.0,36.03,305.0,77364.0,87984.0,13.0,11.55,1.133
JSWSTEEL,Mar 2025,168824.0,3491.0,14.33,305.0,79191.0,98752.0,8.0,4.39,1.242
JSWSTEEL,Mar 2026,185470.0,25508.0,91.26,305.0,99748.0,99310.0,11.0,25.49,0.993
KOTAKBANK,Mar 2015,,3105.0,3.94,386.0,21770.0,,,14.01,
KOTAKBANK,Mar 2016,,3524.0,3.77,917.0,32447.0,,,10.56,
KOTAKBANK,Mar 2017,,5019.0,5.37,920.0,37572.0,,,13.04,
KOTAKBANK,Mar 2018,,6258.0,6.51,953.0,49535.0,,,12.4,
KOTAKBANK,Mar 2019,,7204.0,7.55,954.0,56827.0,,,12.47,
KOTAKBANK,Mar 2020,,8593.0,8.98,957.0,65680.0,,,12.9,
KOTAKBANK,Mar 2021,,9990.0,10.08,991.0,83348.0,,,11.85,
KOTAKBANK,Mar 2022,,12089.0,12.18,992.0,95673.0,,,12.51,
KOTAKBANK,Mar 2023,,14925.0,15.03,993.0,110821.0,,,13.35,
KOTAKBANK,Mar 2024,,18213.0,18.32,994.0,128978.0,,,14.01,
KOTAKBANK,Mar 2025,,22126.0,22.26,994.0,156495.0,,,14.05,
KOTAKBANK,Mar 2026,,19288.0,19.39,995.0,180231.0,,,10.64,
LT,Mar 2015,91929.0,4966.0,34.17,186.0,40723.0,93630.0,10.0,12.14,2.289
LT,Mar 2016,101122.0,4592.0,30.64,186.0,43994.0,88135.0,11.0,10.39,1.995
LT,Mar 2017,109312.0,6486.0,43.17,187.0,50030.0,93954.0,11.0,12.92,1.871
LT,Mar 2018,119683.0,8004.0,52.59,280.0,54623.0,107524.0,14.0,14.58,1.958
LT,Mar 2019,135220.0,10217.0,63.48,281.0,62094.0,125555.0,13.0,16.38,2.013
LT,Mar 2020,145452.0,10894.0,68.02,281.0,66442.0,143174.0,12.0,16.33,2.146
LT,Mar 2021,135979.0,12921.0,82.47,281.0,75588.0,134629.0,10.0,17.03,1.774
LT,Mar 2022,156521.0,10419.0,61.7,281.0,82127.0,125508.0,10.0,12.64,1.523
LT,Mar 2023,183341.0,12531.0,74.5,281.0,89045.0,120650.0,12.0,14.03,1.351
LT,Mar 2024,221113.0,15547.0,95.0,275.0,86084.0,116322.0,13.0,18.0,1.347
LT,Mar 2025,255734.0,17673.0,109.35,275.0,97381.0,132409.0,15.0,18.1,1.356
LT,Mar 2026,285874.0,18954.0,116.92,275.0,109015.0,125497.0,15.0,17.34,1.148
M&M,Mar 2015,71448.0,3381.0,25.26,296.0,25561.0,37911.0,11.0,13.08,1.466
M&M,Mar 2016,75841.0,3554.0,25.35,270.0,26222.0,41553.0,13.0,13.42,1.569
M&M,Mar 2017,83773.0,4051.0,29.77,311.0,29467.0,48762.0,12.0,13.6,1.638
M&M,Mar 2018,92094.0,7958.0,60.41,543.0,36232.0,55898.0,13.0,21.64,1.52
M&M,Mar 2019,104721.0,6017.0,42.76,544.0,39439.0,70848.0,12.0,15.05,1.772
M&M,Mar 2020,75382.0,-321.0,1.02,554.0,39415.0,82092.0,7.0,-0.8,2.054
M&M,Mar 2021,74278.0,1512.0,14.58,555.0,41027.0,80625.0,8.0,3.64,1.939
M&M,Mar 2022,90171.0,7253.0,52.91,556.0,46567.0,77605.0,11.0,15.39,1.647
M&M,Mar 2023,121362.0,11374.0,82.68,557.0,55809.0,92647.0,13.0,20.18,1.644
M&M,Mar 2024,139078.0,12270.0,90.62,557.0,65633.0,108647.0,14.0,18.54,1.641
M&M,Mar 2025,159211.0,14073.0,103.97,558.0,76481.0,129025.0,14.0,18.27,1.675
M&M,Mar 2026,198639.0,18622.0,137.5,559.0,92538.0,136936.0,15.0,20.0,1.471
MARUTI,Mar 2015,50801.0,3809.0,126.04,151.0,24167.0,666.0,19.0,15.66,0.027
MARUTI,Mar 2016,57589.0,5497.0,181.98,151.0,30465.0,231.0,23.0,17.95,0.008
MARUTI,Mar 2017,68085.0,7511.0,248.61,151.0,36924.0,484.0,24.0,20.26,0.013
MARUTI,Mar 2018,79809.0,7881.0,260.86,151.0,42408.0,121.0,24.0,18.52,0.003
